Day,Adjusted price
1638,17123.40039
1639,17268.80078
1640,17521.5
1641,17561.5
1642,17715.5
1643,17875.09961
1644,17829.80078
1645,17858.80078
1646,17873.5
1647,17730.30078
1648,17572.40039
1649,17603.5
1650,17712.59961
1651,17635.59961
1652,17684.69922
1653,17729.40039
1654,17784.69922
1655,17659.40039
1656,17481.19922
1657,17474.59961
1658,17468.30078
1659,17452.09961
1660,17412.09961
1661,17448
1662,17935.90039
1663,17870.59961
1664,17689.19922
1665,17861.5
1666,17929.30078
1667,18020.40039
1668,18022.19922
1669,18176.09961
1670,18135.5
1671,18154.59961
1672,18192.69922
1673,18098.80078
1674,18237.5
1675,18237
1676,18154.40039
1677,18220.19922
1678,18220.30078
1679,18263.5
1680,18090.40039
1681,17931.30078
1682,17878.40039
1683,17839.80078
1684,18030.09961
1685,18089.5
1686,17949.09961
1687,17728.69922
1688,17736.19922
1689,17706.19922
1690,17678.90039
1691,17705
1692,17906.30078
1693,17997.59961
1694,17924.80078
1695,17944.90039
1696,17822.30078
1697,17534.69922
1698,17531.5
1699,17717.09961
1700,17686
1701,17613.5
1702,17443.30078
1703,17212.90039
1704,17112.90039
1705,17296
1706,17486.30078
1707,17708.90039
1708,17642.40039
1709,17637.09961
1710,17765.40039
1711,17755.90039
1712,17781.40039
1713,17755.90039
1714,17645.69922
1715,17619.09961
1716,17499.09961
1717,17267.59961
1718,17387.90039
1719,17512.80078
1720,17521
1721,17677.40039
1722,17670.09961
1723,17734.40039
1724,17775.09961
1725,17745.80078
1726,17655.80078
1727,17760.90039
1728,17667
1729,17438.09961
1730,17595.5
1731,17620.90039
1732,17608.90039
1733,17616.90039
